timestamp,idx,n_total,method,aggregation,score,param.dim,param.attr_mode,param.weights_vec,raw.params
"2025-09-29 15:07:45,105",93,264,fastrp-het,mean_pool,0.5208,128,,"[1,1,1,1,1,1,1,1,1,1]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:08:00,124",94,264,fastrp-het,global_attention,0.5237,128,,"[1,1,1,1,1,1,1,1,1,1]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:08:14,280",95,264,fastrp-het,set2set,0.5432,128,,"[1,1,1,1,1,1,1,1,1,1]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:08:29,184",96,264,fastrp-het,mil_attention,0.591,128,,"[1,1,1,1,1,1,1,1,1,1]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:08:44,145",97,264,fastrp-het,mean_pool,0.5198,128,,"[1,2,4,8,16,16,8,4,2,1]","{'dim': 128, 'weights': [1, 2, 4, 8, 16, 16, 8, 4, 2, 1]}"
"2025-09-29 15:08:59,117",98,264,fastrp-het,global_attention,0.5347,128,,"[1,2,4,8,16,16,8,4,2,1]","{'dim': 128, 'weights': [1, 2, 4, 8, 16, 16, 8, 4, 2, 1]}"
"2025-09-29 15:09:13,178",99,264,fastrp-het,set2set,0.5274,128,,"[1,2,4,8,16,16,8,4,2,1]","{'dim': 128, 'weights': [1, 2, 4, 8, 16, 16, 8, 4, 2, 1]}"
"2025-09-29 15:09:28,148",100,264,fastrp-het,mil_attention,0.5082,128,,"[1,2,4,8,16,16,8,4,2,1]","{'dim': 128, 'weights': [1, 2, 4, 8, 16, 16, 8, 4, 2, 1]}"
"2025-09-29 15:09:43,032",101,264,fastrp-het,mean_pool,0.5233,128,,"[1,2,4,8,16,32,64,128,256,512]","{'dim': 128, 'weights': [1, 2, 4, 8, 16, 32, 64, 128, 256, 512]}"
"2025-09-29 15:09:57,104",102,264,fastrp-het,global_attention,0.5223,128,,"[1,2,4,8,16,32,64,128,256,512]","{'dim': 128, 'weights': [1, 2, 4, 8, 16, 32, 64, 128, 256, 512]}"
"2025-09-29 15:10:11,280",103,264,fastrp-het,set2set,0.5284,128,,"[1,2,4,8,16,32,64,128,256,512]","{'dim': 128, 'weights': [1, 2, 4, 8, 16, 32, 64, 128, 256, 512]}"
"2025-09-29 15:10:26,232",104,264,fastrp-het,mil_attention,0.5051,128,,"[1,2,4,8,16,32,64,128,256,512]","{'dim': 128, 'weights': [1, 2, 4, 8, 16, 32, 64, 128, 256, 512]}"
"2025-09-29 15:10:41,115",105,264,fastrp-het,mean_pool,0.5203,128,,"[1,1,1,1,1,1,1,1,1,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 0]}"
"2025-09-29 15:10:56,188",106,264,fastrp-het,global_attention,0.5181,128,,"[1,1,1,1,1,1,1,1,1,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 0]}"
"2025-09-29 15:11:11,168",107,264,fastrp-het,set2set,0.5736,128,,"[1,1,1,1,1,1,1,1,1,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 0]}"
"2025-09-29 15:11:25,305",108,264,fastrp-het,mil_attention,0.4762,128,,"[1,1,1,1,1,1,1,1,1,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 0]}"
"2025-09-29 15:11:41,030",109,264,fastrp-het,mean_pool,0.5204,128,,"[1,1,1,1,1,1,1,1,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 0, 0]}"
"2025-09-29 15:11:55,936",110,264,fastrp-het,global_attention,0.4884,128,,"[1,1,1,1,1,1,1,1,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 0, 0]}"
"2025-09-29 15:12:10,043",111,264,fastrp-het,set2set,0.5387,128,,"[1,1,1,1,1,1,1,1,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 0, 0]}"
"2025-09-29 15:12:25,004",112,264,fastrp-het,mil_attention,0.5232,128,,"[1,1,1,1,1,1,1,1,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 0, 0]}"
"2025-09-29 15:12:39,877",113,264,fastrp-het,mean_pool,0.5204,128,,"[1,1,1,1,1,1,1,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]}"
"2025-09-29 15:12:54,868",114,264,fastrp-het,global_attention,0.5035,128,,"[1,1,1,1,1,1,1,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]}"
"2025-09-29 15:13:09,145",115,264,fastrp-het,set2set,0.6159,128,,"[1,1,1,1,1,1,1,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]}"
"2025-09-29 15:13:24,203",116,264,fastrp-het,mil_attention,0.5022,128,,"[1,1,1,1,1,1,1,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]}"
"2025-09-29 15:13:39,085",117,264,fastrp-het,mean_pool,0.5196,128,,"[1,1,1,1,1,1,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
"2025-09-29 15:13:53,124",118,264,fastrp-het,global_attention,0.5186,128,,"[1,1,1,1,1,1,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
"2025-09-29 15:14:07,355",119,264,fastrp-het,set2set,0.6302,128,,"[1,1,1,1,1,1,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
"2025-09-29 15:14:22,231",120,264,fastrp-het,mil_attention,0.4983,128,,"[1,1,1,1,1,1,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
"2025-09-29 15:14:37,052",121,264,fastrp-het,mean_pool,0.5196,128,,"[1,1,1,1,1,0,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 0, 0, 0, 0, 0]}"
"2025-09-29 15:14:52,064",122,264,fastrp-het,global_attention,0.5495,128,,"[1,1,1,1,1,0,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 0, 0, 0, 0, 0]}"
"2025-09-29 15:15:07,055",123,264,fastrp-het,set2set,0.5781,128,,"[1,1,1,1,1,0,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 0, 0, 0, 0, 0]}"
"2025-09-29 15:15:21,040",124,264,fastrp-het,mil_attention,0.5174,128,,"[1,1,1,1,1,0,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 1, 0, 0, 0, 0, 0]}"
"2025-09-29 15:15:36,736",125,264,fastrp-het,mean_pool,0.5206,128,,"[1,1,1,1,0,0,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:15:51,758",126,264,fastrp-het,global_attention,0.4828,128,,"[1,1,1,1,0,0,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:16:05,853",127,264,fastrp-het,set2set,0.5621,128,,"[1,1,1,1,0,0,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:16:20,702",128,264,fastrp-het,mil_attention,0.5168,128,,"[1,1,1,1,0,0,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 1, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:16:35,469",129,264,fastrp-het,mean_pool,0.5213,128,,"[1,1,1,0,0,0,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:16:50,562",130,264,fastrp-het,global_attention,0.5258,128,,"[1,1,1,0,0,0,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:17:04,724",131,264,fastrp-het,set2set,0.5238,128,,"[1,1,1,0,0,0,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:17:19,918",132,264,fastrp-het,mil_attention,0.5233,128,,"[1,1,1,0,0,0,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 1, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:17:34,945",133,264,fastrp-het,mean_pool,0.5217,128,,"[1,1,0,0,0,0,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 0, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:17:49,085",134,264,fastrp-het,global_attention,0.4971,128,,"[1,1,0,0,0,0,0,0,0,0]","{'dim': 128, 'weights': [1, 1, 0, 0, 0, 0, 0, 0, 0, 0]}"
